pic	r1&r2	r1|r2	iou
199.png	61.0	589.0	0.1035653650254669
2.png	3201.0	5577.0	0.5739644970414202
20.png	3160.0	4268.0	0.7403936269915652
200.png	640.0	1076.0	0.5947955390334573
201.png	2058.0	2903.0	0.70892180502928
202.png	783.0	2053.0	0.38139308329274235
203.png	4660.0	7443.0	0.6260916297191993
204.png	1413.0	2729.0	0.5177720776841334
205.png	561.0	1467.0	0.3824130879345603
206.png	3627.0	5191.0	0.6987093045655943
207.png	3045.0	5602.0	0.5435558729025348
208.png	7055.0	10807.0	0.6528176182104192
209.png	3684.0	5328.0	0.6914414414414415
21.png	1482.0	2017.0	0.7347545860188398
210.png	6460.0	9643.0	0.669916001244426
211.png	1455.0	3355.0	0.4336810730253353
212.png	510.0	947.0	0.5385427666314678
213.png	2376.0	3095.0	0.7676898222940226
214.png	1699.0	2781.0	0.6109313196691838
215.png	6589.0	7921.0	0.8318394142153769
216.png	3726.0	5771.0	0.6456420031190435
217.png	2059.0	6288.0	0.32744910941475824
218.png	2961.0	4470.0	0.6624161073825503
219.png	6722.0	11095.0	0.6058584948174853
22.png	36.0	1335.0	0.02696629213483146
220.png	4407.0	7490.0	0.588384512683578
221.png	4846.0	7356.0	0.6587819467101685
222.png	4753.0	6712.0	0.708134684147795
223.png	15475.0	18057.0	0.8570083624079304
224.png	2261.0	3402.0	0.6646090534979424
225.png	7693.0	10556.0	0.7287798408488063
226.png	9399.0	10788.0	0.8712458286985539
227.png	11813.0	13270.0	0.8902034664657121
228.png	8057.0	11926.0	0.6755827603555258
229.png	7167.0	10419.0	0.6878779153469623
23.png	3512.0	4741.0	0.7407719890318498
230.png	4191.0	8055.0	0.5202979515828677
231.png	4226.0	5954.0	0.7097749412159893
232.png	4574.0	7403.0	0.6178576252870458
233.png	5900.0	8332.0	0.7081132981277004
234.png	9943.0	12455.0	0.7983139301485347
235.png	8461.0	11566.0	0.731540722808231
236.png	15689.0	17147.0	0.9149705487840438
237.png	3049.0	4533.0	0.6726229869843371
238.png	3622.0	4986.0	0.7264340152426795
239.png	0.0	745.0	0.0
24.png	1187.0	5210.0	0.22783109404990404
240.png	732.0	2429.0	0.30135858377933306
241.png	7739.0	11410.0	0.6782646801051709
242.png	4539.0	6870.0	0.6606986899563319
243.png	4445.0	6038.0	0.7361709175223584
244.png	4294.0	5517.0	0.7783215515678811
245.png	2713.0	3622.0	0.7490336830480397
246.png	4683.0	5899.0	0.7938633666723174
247.png	5689.0	8801.0	0.6464038177479832
248.png	7073.0	9701.0	0.7291000927739408
249.png	3673.0	4360.0	0.8424311926605504
25.png	6423.0	10390.0	0.6181905678537055
250.png	677.0	2048.0	0.33056640625
251.png	1238.0	3685.0	0.3359565807327001
252.png	3853.0	6417.0	0.6004363409693003
253.png	1688.0	2818.0	0.5990063875088716
254.png	8242.0	10554.0	0.7809361379571726
255.png	316.0	1214.0	0.2602965403624382
256.png	8139.0	13074.0	0.622533272143185
258.png	6215.0	8395.0	0.7403216200119118
259.png	2370.0	3295.0	0.7192716236722306
26.png	5042.0	7095.0	0.7106412966878083
260.png	864.0	1690.0	0.5112426035502958
261.png	6128.0	8175.0	0.7496024464831804
262.png	3521.0	6446.0	0.5462302202916537
263.png	235.0	875.0	0.26857142857142857
264.png	841.0	1536.0	0.5475260416666666
265.png	2011.0	3309.0	0.6077364762768208
266.png	3986.0	5306.0	0.7512250282698831
267.png	5498.0	6817.0	0.80651312894235
268.png	5883.0	8090.0	0.7271940667490729
269.png	870.0	1395.0	0.6236559139784946
27.png	5896.0	13073.0	0.4510058900022948
270.png	4940.0	8750.0	0.5645714285714286
271.png	4838.0	5704.0	0.8481767180925667
272.png	3899.0	5078.0	0.7678219771563608
273.png	5435.0	7183.0	0.756647640261729
274.png	9496.0	10403.0	0.9128136114582333
275.png	2566.0	3886.0	0.6603190941842512
